0.000000000000000000e+00,4.814873977585099141e+01,0.000000000000000000e+00
4.800000000000000000e+01,9.400000000000000000e+01,3.235294117647059126e-02
9.400000000000000000e+01,1.400000000000000000e+02,7.941176470588236225e-02
1.400000000000000000e+02,1.860000000000000000e+02,1.176470588235293963e-01
1.860000000000000000e+02,2.310000000000000000e+02,9.999999999999997780e-02
2.310000000000000000e+02,2.770000000000000000e+02,1.529411764705883026e-01
2.770000000000000000e+02,3.230000000000000000e+02,8.823529411764710617e-02
3.230000000000000000e+02,3.690000000000000000e+02,2.941176470588232825e-02
3.690000000000000000e+02,4.150000000000000000e+02,1.176470588235294795e-02
4.150000000000000000e+02,4.610000000000000000e+02,0.000000000000000000e+00
4.610000000000000000e+02,5.060000000000000000e+02,0.000000000000000000e+00
5.060000000000000000e+02,5.520000000000000000e+02,0.000000000000000000e+00
5.520000000000000000e+02,5.980000000000000000e+02,0.000000000000000000e+00
5.980000000000000000e+02,6.440000000000000000e+02,0.000000000000000000e+00
6.440000000000000000e+02,6.900000000000000000e+02,0.000000000000000000e+00
6.900000000000000000e+02,7.350000000000000000e+02,8.823529411764721372e-03
7.350000000000000000e+02,7.810000000000000000e+02,2.941176470588233085e-03
7.810000000000000000e+02,8.270000000000000000e+02,2.941176470588233085e-03
8.270000000000000000e+02,8.730000000000000000e+02,1.176470588235296010e-02
8.730000000000000000e+02,9.190000000000000000e+02,2.941176470588232825e-02
9.190000000000000000e+02,9.650000000000000000e+02,8.823529411764698821e-03
9.650000000000000000e+02,1.010000000000000000e+03,2.058823529411768147e-02
1.010000000000000000e+03,1.056000000000000000e+03,3.823529411764711727e-02
1.056000000000000000e+03,1.102000000000000000e+03,4.999999999999983624e-02
1.102000000000000000e+03,1.148000000000000000e+03,8.529411764705896459e-02
1.148000000000000000e+03,1.194000000000000000e+03,8.529411764705853438e-02
1.194000000000000000e+03,1.240000000000000000e+03,3.235294117647063983e-02
1.240000000000000000e+03,1.285000000000000000e+03,5.882352941176480048e-03
1.285000000000000000e+03,1.331000000000000000e+03,2.941176470588225712e-03
1.331000000000000000e+03,1.377000000000000000e+03,0.000000000000000000e+00
1.377000000000000000e+03,1.423000000000000000e+03,2.941176470588240024e-03
